Time;Temp;Height_K;VertSpeed;accel_X;accel_Y;accel_Z;gyro_X;gyro_Y;gyro_Z;Long;Lati;Alt;Sp;SS_flag;Delta_S;;
91575;18,69;-0,50;-0,50;0,16;0,03;-2,05;-3,54;-5,37;0,24;50,72112;53,14823;0,00;0,77;0;0,00;;#áçÄó!
91938;19,16;0,95;0,95;-0,17;0,96;-7,31;38,15;-30,03;83,80;50,72117;53,14824;46,60;0,00;0;3,61;;
92293;19,12;4,09;4,09;-0,29;-0,23;-7,67;-42,85;14,95;-12,70;50,72117;53,14824;46,60;0,00;0;3,61;;
92648;19,00;10,45;10,45;0,37;-0,37;-5,48;7,75;-9,83;48,40;50,72116;53,14824;46,60;1,18;0;3,20;;
93011;18,91;18,46;18,46;-0,16;0,26;1,04;4,33;3,72;80,20;50,72116;53,14824;46,60;1,18;0;3,20;;
93377;18,84;28,19;28,19;-0,53;-0,12;0,30;-10,07;-1,83;46,75;50,72116;53,14824;46,60;1,18;0;3,20;;
93743;18,78;38,87;38,87;0,17;-0,12;0,58;7,51;-1,89;50,17;50,72112;53,14823;46,40;4,56;0;0,25;;
94105;18,72;49,56;49,56;0,06;0,02;0,51;8,18;-0,06;48,77;50,72112;53,14823;46,40;4,56;0;0,25;;
94469;18,68;60,55;60,55;-0,36;-0,08;0,54;-14,16;1,83;42,48;50,72112;53,14823;46,40;4,56;0;0,25;;
94832;18,66;71,31;71,81;0,13;-0,34;0,38;-9,34;5,31;41,44;50,72129;53,14819;46,00;12,36;0;12,55;;
95198;18,62;82,05;81,10;0,02;0,08;0,32;-20,75;-3,66;31,49;50,72129;53,14819;46,00;12,36;0;12,55;;
95560;18,59;92,61;88,52;-0,08;0,12;0,24;-23,62;6,59;41,81;50,72149;53,14815;46,00;13,20;0;26,38;;
95924;18,58;102,60;92,15;-0,03;0,10;0,17;-21,97;-8,42;32,41;50,72149;53,14815;45,60;13,20;0;26,38;;
96287;18,56;112,16;93,70;-0,11;-0,01;0,14;-25,39;11,29;27,22;50,72149;53,14815;45,60;13,20;0;26,38;;
96651;18,54;121,25;93,06;-0,05;-0,10;0,09;-21,06;4,82;18,92;50,72170;53,14812;45,10;12,41;0;40,72;;
97014;18,53;129,69;90,82;-0,14;-0,20;0,09;-29,97;-13,85;23,13;50,72170;53,14812;45,10;12,41;0;40,72;;
97392;18,53;137,55;87,99;-0,13;0,17;0,05;-10,31;18,43;39,98;50,72170;53,14812;45,10;12,41;0;40,72;;
97757;18,51;144,71;84,16;0,03;-0,10;0,06;-22,95;-6,47;30,52;50,72232;53,14804;217,80;11,17;0;82,69;;
98120;18,51;151,12;79,81;-0,09;-0,01;0,04;-25,09;-12,45;36,07;50,72232;53,14804;217,80;11,17;1;82,69;;
98483;18,51;156,75;74,69;0,02;-0,07;0,03;-39,18;-19,84;30,58;50,72232;53,14804;217,80;11,17;1;82,69;;
98845;18,49;161,47;68,86;-0,05;-0,11;0,05;-3,66;-18,19;29,36;50,72245;53,14805;238,90;10,75;1;91,35;;
99213;18,47;165,39;62,79;-0,04;0,00;0,05;-23,80;-21,36;29,66;50,72245;53,14805;238,90;10,75;1;91,35;;
